
Gurobi 9.5.1 (win64) logging started Tue Sep 19 00:56:07 2023

Set parameter LogFile to value "consol_sol_wt_1_time_36000_ver1.0.txt"
Set parameter TimeLimit to value 36000
Gurobi Optimizer version 9.5.1 build v9.5.1rc2 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 199781 rows, 74550 columns and 1039284 nonzeros
Model fingerprint: 0x6b59279d
Variable types: 0 continuous, 74550 integer (74550 binary)
Coefficient statistics:
  Matrix range     [1e+00, 5e+01]
  Objective range  [1e+00, 3e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 8e+00]
Found heuristic solution: objective -0.0000000
Presolve removed 120020 rows and 5580 columns (presolve time = 5s) ...
Presolve removed 124820 rows and 6220 columns (presolve time = 10s) ...
Presolve removed 124780 rows and 6180 columns
Presolve time: 10.14s
Presolved: 75001 rows, 68370 columns, 897913 nonzeros
Variable types: 0 continuous, 68370 integer (68330 binary)

Deterministic concurrent LP optimizer: primal and dual simplex
Showing first log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
     0     0  453.10102    0 27086  198.50000  453.10102   128%     - 2229s
     0     0  453.09090    0 27113  198.50000  453.09090   128%     - 2272s
     0     0  453.09090    0 25365  198.50000  453.09090   128%     - 2620s
H    0     0                     208.0000000  453.09090   118%     - 3173s
H    0     0                     278.0000000  453.09090  63.0%     - 4192s
     0     2  453.09090    0 25365  278.00000  453.09090  63.0%     - 4421s
     1     4  452.97538    1 24744  278.00000  453.08908  63.0% 55472 4502s
     3     8  452.95973    2 26390  278.00000  453.08453  63.0% 27905 4690s
     7    12  451.63166    3 24916  278.00000  453.08453  63.0% 22276 4882s
    11    16  451.62095    4 24370  278.00000  453.08453  63.0% 20620 5060s
    15    20  451.60631    5 24193  278.00000  453.08453  63.0% 19276 5098s
    19    24  451.60503    6 24078  278.00000  453.08453  63.0% 16207 5130s
    23    28  451.60490    7 24193  278.00000  453.08453  63.0% 14083 5173s
H   27    32                     291.5000000  453.08453  55.4% 12478 5509s
H   28    32                     292.0000000  453.08453  55.2% 12208 5509s
    31    39  451.60358    9 24067  292.00000  453.08453  55.2% 11370 5727s
    38    45  451.60011   11 23311  292.00000  453.08453  55.2% 11701 5782s
    44    51  451.59690   12 22809  292.00000  453.08453  55.2% 10712 5892s
    50    57  451.59620   13 23053  292.00000  453.08453  55.2% 10075 5960s
    56    61  451.58613   15 22970  292.00000  453.08453  55.2%  9594 6088s
    60    67  451.57098   16 22979  292.00000  453.08453  55.2%  9598 6185s
    66    71  451.55592   18 22601  292.00000  453.08453  55.2%  9485 6379s
    70    77  451.55107   19 22195  292.00000  453.08453  55.2%  9764 6550s
    76    82  451.53813   21 22834  292.00000  453.08453  55.2%  9849 6618s
    81    90  451.52158   22 22557  292.00000  453.08453  55.2%  9610 6772s
    89    97  447.71679   22 21554  292.00000  453.08453  55.2%  9284 6895s
    96   101  447.70825   23 20558  292.00000  453.08453  55.2%  9059 7036s
   100   112  447.69488   24 20637  292.00000  453.08453  55.2%  9123 7133s
H  111   116                     293.0000000  453.08453  54.6%  8534 7311s
H  113   116                     295.5000000  453.08453  53.3%  8569 7311s
   115   125  447.61702   28 20208  295.50000  453.08453  53.3%  8781 7751s
   124   136  447.58005   31 20066  295.50000  453.08453  53.3%  9032 7875s
   135   146  447.45106   35 19967  295.50000  453.08453  53.3%  8636 8466s
H  143   146                     314.0000000  453.08453  44.3%  8304 8466s
   145   158  447.37825   39 19675  314.00000  453.08453  44.3%  8484 8720s
H  148   158                     322.0000000  453.08453  40.7%  8384 8720s
H  155   158                     323.5000001  453.08453  40.1%  8074 8720s
   157   171  447.18946   42 18829  323.50000  453.08453  40.1%  8335 8865s
